NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 1050.04; Maricopa County; Arizona,3453,85,04,013,105004,04013105004,Phoenix
Census Tract 1051.01; Maricopa County; Arizona,4262,98,04,013,105101,04013105101,Phoenix
Census Tract 1051.02; Maricopa County; Arizona,4660,443,04,013,105102,04013105102,Phoenix
Census Tract 1051.03; Maricopa County; Arizona,2790,117,04,013,105103,04013105103,Phoenix
Census Tract 1052; Maricopa County; Arizona,5872,177,04,013,105200,04013105200,Phoenix
Census Tract 1053; Maricopa County; Arizona,4615,399,04,013,105300,04013105300,Phoenix
Census Tract 1054; Maricopa County; Arizona,3734,44,04,013,105400,04013105400,Phoenix
Census Tract 1055.01; Maricopa County; Arizona,2319,416,04,013,105501,04013105501,Phoenix
Census Tract 1055.02; Maricopa County; Arizona,1864,450,04,013,105502,04013105502,Phoenix
Census Tract 1055.03; Maricopa County; Arizona,4193,1032,04,013,105503,04013105503,Phoenix
Census Tract 1056.01; Maricopa County; Arizona,4095,563,04,013,105601,04013105601,Phoenix
Census Tract 1056.02; Maricopa County; Arizona,6532,2171,04,013,105602,04013105602,Phoenix
Census Tract 1057.01; Maricopa County; Arizona,3497,504,04,013,105701,04013105701,Phoenix
Census Tract 1057.02; Maricopa County; Arizona,4244,447,04,013,105702,04013105702,Phoenix
Census Tract 1058; Maricopa County; Arizona,6743,637,04,013,105800,04013105800,Phoenix
Census Tract 1059; Maricopa County; Arizona,5281,649,04,013,105900,04013105900,Phoenix
Census Tract 1060.01; Maricopa County; Arizona,1842,635,04,013,106001,04013106001,Phoenix
Census Tract 1060.02; Maricopa County; Arizona,2797,612,04,013,106002,04013106002,Phoenix
Census Tract 1060.03; Maricopa County; Arizona,3794,805,04,013,106003,04013106003,Phoenix
Census Tract 1061; Maricopa County; Arizona,5708,562,04,013,106100,04013106100,Phoenix
Census Tract 1062; Maricopa County; Arizona,3369,139,04,013,106200,04013106200,Phoenix
Census Tract 1063; Maricopa County; Arizona,5411,433,04,013,106300,04013106300,Phoenix
Census Tract 1064; Maricopa County; Arizona,3253,309,04,013,106400,04013106400,Phoenix
Census Tract 1065.01; Maricopa County; Arizona,3319,283,04,013,106501,04013106501,Phoenix
Census Tract 1065.02; Maricopa County; Arizona,3875,240,04,013,106502,04013106502,Phoenix
Census Tract 1066; Maricopa County; Arizona,3589,88,04,013,106600,04013106600,Phoenix
Census Tract 1067.01; Maricopa County; Arizona,4322,1153,04,013,106701,04013106701,Phoenix
Census Tract 1067.02; Maricopa County; Arizona,1323,206,04,013,106702,04013106702,Phoenix
Census Tract 1067.03; Maricopa County; Arizona,2421,259,04,013,106703,04013106703,Phoenix
Census Tract 1068.01; Maricopa County; Arizona,4558,2322,04,013,106801,04013106801,Phoenix
Census Tract 1068.02; Maricopa County; Arizona,3444,666,04,013,106802,04013106802,Phoenix
