ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
1321735,0,013,04013110902,1109.02,Census Tract 1109.02,04,110902,1.3209598555246387,654,654,Phoenix,True,High income + High poverty,False,33.63207082799726,33.684223247532515,78497,78497.0,0.14110032362459546,4635,4635,4635,4635
701867,6106,013,04013111501,1115.01,Census Tract 1115.01,04,111501,0.7075655435916615,328,328,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,42813,42813.0,0.16294088425235967,2013,2013,2013,2013
1891517,12800,013,04013111502,1115.02,Census Tract 1115.02,04,111502,1.9032209930737487,954,954,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,53714,53714.0,0.16908897554058844,5642,5642,5797,5797
1207360,5283,013,04013111601,1116.01,Census Tract 1116.01,04,111601,1.2119451590308934,427,427,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,69215,69215.0,0.13183081197900587,3239,3239,3241,3241
1395695,0,013,04013111602,1116.02,Census Tract 1116.02,04,111602,1.3949001479348195,884,884,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,63098,63098.0,0.20615671641791045,4288,4288,4305,4305
2603480,0,013,04013111700,1117,Census Tract 1117,04,111700,2.602016428128544,392,392,Phoenix,False,High income + Low poverty,False,33.55384219869438,33.55384219869438,93333,93333.0,0.08320950965824665,4711,4711,4760,4760
1387781,0,013,04013114401,1144.01,Census Tract 1144.01,04,114401,1.3870346315322546,628,628,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,44250,44250.0,0.3829268292682927,1640,1640,1640,1640
1200491,0,013,04013114402,1144.02,Census Tract 1144.02,04,114402,1.199840578655998,566,566,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,64625,64625.0,0.2972689075630252,1904,1904,1904,1904
2541453,0,013,04013114500,1145,Census Tract 1145,04,114500,2.540105640912693,731,731,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,41461,41461.0,0.19036458333333334,3840,3840,3840,3840
2581410,0,013,04013114600,1146,Census Tract 1146,04,114600,2.5800621466201585,367,367,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,40521,40521.0,0.21116225546605294,1738,1738,1754,1754
5404127,2061,013,04013114800,1148,Census Tract 1148,04,114800,5.403237034934326,776,776,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,60481,60481.0,0.256021115143517,3031,3031,3031,3031
2826462,0,013,04013114900,1149,Census Tract 1149,04,114900,2.8248956019214146,1355,1355,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,25306,25306.0,0.4524207011686144,2995,2995,3008,3008
1293573,0,013,04013108502,1085.02,Census Tract 1085.02,04,108502,1.2928355813762495,170,170,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,106149,106149.0,0.04551539491298527,3735,3735,3735,3735
650530,0,013,04013109001,1090.01,Census Tract 1090.01,04,109001,0.6501799554692819,1786,1786,Phoenix,True,Low income + High poverty,True,33.30751880031277,33.30751880031277,49375,49375.0,0.3435276014618196,5199,5199,5330,5330
942940,0,013,04013109002,1090.02,Census Tract 1090.02,04,109002,0.942429183719763,975,975,Phoenix,True,Low income + High poverty,True,33.30751880031277,33.30751880031277,52800,52800.0,0.25038520801232667,3894,3894,3906,3906
957429,9900,013,04013109003,1090.03,Census Tract 1090.03,04,109003,0.9668097291610637,1639,1639,Phoenix,True,Low income + High poverty,True,,,43345,43345.0,0.26785422454649455,6119,6119,6331,6331
1281313,0,013,04013109102,1091.02,Census Tract 1091.02,04,109102,1.2806377895594208,2111,2111,Phoenix,True,Low income + High poverty,True,,,65959,65959.0,0.3012701584130156,7007,7007,7010,7010
1414636,0,013,04013110501,1105.01,Census Tract 1105.01,04,110501,1.4138538147630775,764,764,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,54820,54820.0,0.2064864864864865,3700,3700,3780,3780
1310115,0,013,04013110502,1105.02,Census Tract 1105.02,04,110502,1.3093834510597986,821,821,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,68333,68333.0,0.20992073638455638,3911,3911,3911,3911
