STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
04,013,611700,04013611700,6117,Census Tract 6117,7546450,0,7.542628933575189,Phoenix,6290,127235,6290,127235.0,6265,174,6265,174,0.027773343974461292,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,611800,04013611800,6118,Census Tract 6118,2577142,0,2.5757971650555644,Phoenix,7057,115171,7057,115171.0,7057,143,7057,143,0.02026356808842284,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,612600,04013612600,6126,Census Tract 6126,1327095,0,1.3263079134091547,Phoenix,2151,91047,2151,91047.0,2151,39,2151,39,0.01813110181311018,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,613300,04013613300,6133,Census Tract 6133,37833440,10908,37.82160890524344,Phoenix,7284,132025,7284,132025.0,7269,330,7269,330,0.04539826661163846,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106002,04013106002,1060.02,Census Tract 1060.02,942646,0,0.9421384591862179,Phoenix,2864,45822,2864,45822.0,2797,612,2797,612,0.2188058634250983,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106003,04013106003,1060.03,Census Tract 1060.03,941132,0,0.940626106892391,Phoenix,3856,67716,3856,67716.0,3794,805,3794,805,0.21217712177121772,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106502,04013106502,1065.02,Census Tract 1065.02,1309433,0,1.3086966825670923,Phoenix,3875,76434,3875,76434.0,3875,240,3875,240,0.06193548387096774,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106701,04013106701,1067.01,Census Tract 1067.01,633661,0,0.633313294609895,Phoenix,4322,42109,4322,42109.0,4322,1153,4322,1153,0.2667746413697362,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106703,04013106703,1067.03,Census Tract 1067.03,1288397,6635,1.2943251335854,Phoenix,2432,101165,2432,101165.0,2421,259,2421,259,0.10698058653448989,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,106802,04013106802,1068.02,Census Tract 1068.02,1879037,0,1.87802566200386,Phoenix,3486,64931,3486,64931.0,3444,666,3444,666,0.19337979094076654,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
