GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003003609,Census Tract 36.09; Clark County; Nevada,4924,77028.0,680,4920,0.13821138211382114
32003003610,Census Tract 36.10; Clark County; Nevada,6242,81723.0,698,6242,0.11182313361102211
32003003613,Census Tract 36.13; Clark County; Nevada,7808,74350.0,756,7720,0.09792746113989638
32003003615,Census Tract 36.15; Clark County; Nevada,3229,82632.0,285,3229,0.08826262000619386
32003003616,Census Tract 36.16; Clark County; Nevada,4927,45341.0,387,4927,0.07854678303227115
32003003617,Census Tract 36.17; Clark County; Nevada,1987,47337.0,449,1968,0.22815040650406504
32003003619,Census Tract 36.19; Clark County; Nevada,5002,142604.0,214,5002,0.042782886845261894
32003003620,Census Tract 36.20; Clark County; Nevada,5506,115299.0,494,5506,0.08972030512168544
32003003621,Census Tract 36.21; Clark County; Nevada,2993,65417.0,133,2993,0.04443701971266288
32003003626,Census Tract 36.26; Clark County; Nevada,4482,109042.0,334,4482,0.07452030343596609
32003003627,Census Tract 36.27; Clark County; Nevada,5756,86528.0,918,5756,0.15948575399583043
32003003630,Census Tract 36.30; Clark County; Nevada,7314,96208.0,626,7298,0.08577692518498219
32003003631,Census Tract 36.31; Clark County; Nevada,4280,91552.0,318,4269,0.07449051300070274
32003003632,Census Tract 36.32; Clark County; Nevada,3508,92765.0,109,3508,0.031071835803876853
32003003633,Census Tract 36.33; Clark County; Nevada,4341,79805.0,90,4333,0.020770828525271175
32003003634,Census Tract 36.34; Clark County; Nevada,4324,72051.0,320,4290,0.07459207459207459
32003003635,Census Tract 36.35; Clark County; Nevada,6158,84375.0,262,6158,0.0425462812601494
32003003636,Census Tract 36.36; Clark County; Nevada,3300,108875.0,130,3300,0.03939393939393939
32003003637,Census Tract 36.37; Clark County; Nevada,4475,71899.0,518,4475,0.11575418994413408
